,Credit_Card_Exceed_Months,Employment_Type,Loan_Amount,Loan_Tenure_Year,More_Than_One_Products,Credit_Card_More_Than_Months,Number_of_Dependents,Years_to_Financial_Freedom,Number_of_Credit_Card_Facility,Number_of_Properties,Number_of_Bank_Products,Number_of_Loan_to_Approve,Property_Type,Years_for_Property_to_Completion,State,Number_of_Side_Income,Monthly_Salary,Total_Sum_of_Loan,Total_Income_for_Join_Application,Decision,Score
1053,1,0,330613,13,0,2,3,15,2,2,5,1,2,10,2,3,11163,938734,17780,0,8
1054,1,0,561580,21,1,2,3,15,2,2,5,2,2,10,2,1,11182,975705,19787,0,8
1055,1,0,568140,21,0,2,3,15,2,2,5,3,2,10,2,1,5856,1429290,12509,0,7
1058,1,0,575701,16,1,2,3,15,2,2,5,3,2,10,2,1,10941,1008381,16708,0,6
1059,1,0,108186,20,0,2,3,15,2,2,5,2,2,10,2,2,8553,949280,8869,0,7
1061,1,0,531541,23,0,2,3,15,2,2,5,2,2,10,2,1,8567,1051609,11881,0,8
1062,1,0,398804,15,1,2,3,15,2,2,5,1,2,10,2,1,4930,586508,12143,0,8
1063,1,0,449317,19,0,2,3,15,2,2,5,1,2,10,2,3,5477,1323296,10599,0,9
1066,1,0,381677,14,1,2,3,15,2,2,5,3,2,10,2,3,11714,515323,18866,0,6
1068,1,0,247720,24,1,2,3,15,2,2,5,1,2,10,2,3,10163,1270156,10881,0,6
1069,1,0,289176,20,0,2,3,15,2,2,5,3,2,10,2,2,10981,802595,18882,0,6
1070,1,0,625321,17,1,2,3,15,2,2,5,2,2,10,2,3,6632,1367975,17040,0,8
1071,1,0,346978,21,0,2,3,15,2,2,5,2,2,10,2,2,6148,1163898,14720,0,7
1072,1,0,290789,24,1,2,3,15,2,2,5,3,2,10,2,1,4119,908600,13761,0,9
1074,1,0,153683,15,1,2,3,15,2,2,5,2,2,10,2,1,9243,1115261,19234,0,7
1075,1,0,648172,17,0,2,3,15,2,2,5,2,2,10,2,2,11246,952313,13781,0,8
1076,1,0,564392,24,1,2,3,15,2,2,5,2,2,10,2,2,10624,1229285,17920,0,9
1077,1,0,312646,22,0,2,3,15,2,2,5,2,2,10,2,1,7282,930638,15939,0,7
1078,1,0,509066,13,1,2,3,15,2,2,5,2,2,10,2,2,12032,1118043,11275,0,6
1079,1,0,659379,15,0,2,3,15,2,2,5,1,2,10,2,3,11818,1347927,14802,0,6
1080,1,0,157837,17,1,2,3,15,2,2,5,1,2,10,2,2,8027,760391,17146,0,9
1081,1,0,165955,23,0,2,3,15,2,2,5,2,2,10,2,3,11343,1417731,10892,0,9
1082,1,0,358868,10,1,2,3,15,2,2,5,3,2,10,2,1,4464,536349,9832,0,6
1083,1,0,535576,21,0,2,3,15,2,2,5,2,2,10,2,3,6786,990921,17565,0,8
1084,1,0,262674,12,1,2,3,15,2,2,5,2,2,10,2,2,11840,995019,8243,0,7
1085,1,0,201496,17,0,2,3,15,2,2,5,2,2,10,2,1,11888,437979,13092,0,8
1086,1,0,729521,22,1,2,3,15,2,2,5,2,2,10,2,2,7597,648615,8664,0,8
1089,1,0,215743,19,0,2,3,15,2,2,5,2,2,10,2,2,7074,1163147,9198,0,8
1091,1,0,344177,14,0,2,3,15,2,2,5,2,2,10,2,2,7143,724200,17402,0,8
1092,1,0,496827,24,1,2,3,15,2,2,5,2,2,10,2,3,10167,979915,13069,0,7
1093,1,0,298643,21,0,2,3,15,2,2,5,2,2,10,2,1,11312,625802,18788,0,6
1094,1,0,150556,10,1,2,3,15,2,2,5,2,2,10,2,2,6964,1191893,16318,0,7
1095,1,0,176989,22,0,2,3,15,2,2,5,1,2,10,2,3,9767,1075017,12695,0,6
1096,1,0,402569,23,1,2,3,15,2,2,5,3,2,10,2,3,8029,691743,14639,0,9
1098,1,0,677251,21,1,2,3,15,2,2,5,3,2,10,2,1,8186,1307621,14479,0,6
1100,6,0,732663,19,1,2,3,15,2,2,5,2,2,11,2,1,7369,562353,11176,0,6
1101,6,0,637706,21,0,2,3,15,2,2,5,2,2,11,2,3,10595,1070788,13131,0,6
1102,6,0,279761,22,1,2,3,15,2,2,5,3,2,11,2,3,7523,1354671,15320,0,6
1104,6,0,298316,19,1,2,3,15,2,2,5,2,2,11,2,1,5086,1427588,15687,0,8
1105,6,0,686612,21,0,2,3,15,2,2,5,3,2,11,2,2,7568,1240434,9636,0,8
1106,6,0,616549,20,1,2,3,15,2,2,5,3,2,11,2,2,3918,452805,8821,0,7
1107,6,0,444313,24,0,2,3,15,2,2,5,2,2,11,2,2,7780,1055248,14076,0,6
1108,6,0,680711,16,1,2,3,15,2,2,5,1,2,11,2,3,12348,1239146,13633,0,9
1109,6,0,412141,11,0,2,3,15,2,2,5,2,2,11,2,2,7599,845985,11005,0,7
1110,6,0,649369,18,1,2,3,15,2,2,5,2,2,11,2,1,6019,1211700,10836,0,7
1111,6,0,270572,13,0,2,3,15,2,2,5,3,2,11,2,2,4151,1013829,19423,0,8
1112,6,0,527550,13,1,2,3,15,2,2,5,3,2,11,2,1,4669,691210,10617,0,7
1114,6,0,197709,10,1,2,3,15,2,2,5,1,2,11,2,2,11420,1084936,16122,0,8
1116,6,0,148536,19,1,2,3,15,2,2,5,1,2,11,2,2,10268,571262,17012,0,7
1117,6,0,256159,20,0,2,3,15,2,2,5,3,2,11,2,3,10400,1022495,19494,0,6
1121,6,0,566778,22,0,2,3,15,2,2,5,2,2,11,2,2,9556,1447750,12024,0,9
1122,6,0,380774,15,1,2,3,15,2,2,5,2,2,11,2,3,9725,1089670,10942,0,6
1124,6,0,148887,14,1,2,3,15,2,2,5,3,2,11,2,1,9910,593085,11464,0,6
1125,6,0,631327,24,0,2,3,15,2,2,5,3,2,11,2,2,5489,765935,7896,0,8
1126,6,0,743329,11,1,2,3,15,2,2,5,1,2,11,2,3,5853,920112,16168,0,7
1127,6,0,679838,21,0,2,3,15,2,2,5,2,2,11,2,3,7527,1316527,14072,0,7
1128,6,0,102778,22,1,2,3,15,2,2,5,3,2,11,2,1,11264,437625,18415,0,8
1130,6,0,292211,10,1,2,3,15,2,2,5,1,2,11,2,3,10719,739025,12452,0,8
1133,6,0,401010,10,0,2,3,15,2,2,5,2,2,11,2,3,11679,433014,16131,0,9
1134,6,0,282559,19,1,2,3,15,2,2,5,3,2,11,2,1,10943,1372549,17189,0,6
1136,6,0,220131,20,1,2,3,15,2,2,5,1,2,11,2,3,4648,633557,11972,0,8
1138,6,0,625218,17,1,2,3,15,2,2,5,2,2,11,2,1,5286,630162,10290,0,7
1139,6,0,501499,22,0,2,3,15,2,2,5,2,2,11,2,1,11484,1026241,14336,0,6
1141,6,0,633758,24,0,2,3,15,2,2,5,1,2,11,2,1,5938,608531,9454,0,6
1142,6,0,660588,21,1,2,3,15,2,2,5,2,2,11,2,1,5376,958242,7726,0,9
1143,6,0,455047,18,0,2,3,15,2,2,5,1,2,11,2,1,9552,1405917,12857,0,9
1144,6,0,475913,21,1,2,3,15,2,2,5,2,2,11,2,3,5591,715085,7937,0,9
1146,6,0,410670,19,1,2,3,15,2,2,5,1,2,11,2,2,5941,495839,13286,0,7
1148,6,0,227813,19,1,2,3,15,2,2,5,2,2,11,2,2,8779,1064646,12056,0,6
1149,6,0,449883,16,0,2,3,15,2,2,5,1,2,11,2,3,12490,815888,15235,0,7
1150,6,0,529758,19,1,2,3,15,2,2,5,3,2,11,2,3,3678,1321583,14458,0,6
1151,6,0,666921,18,0,2,3,15,2,2,5,2,2,11,2,2,4207,1188062,14880,0,8
1152,6,0,784784,15,1,2,3,15,2,2,5,3,2,11,2,2,3834,1024216,11090,0,6
1153,6,0,313961,15,0,2,3,15,2,2,5,1,2,11,2,3,11808,424148,17133,0,7
1154,6,0,372812,12,1,2,3,15,2,2,5,1,2,11,2,2,8529,669160,13726,0,8
1157,6,0,785965,15,0,2,3,15,2,2,5,1,2,11,2,3,11225,604421,18899,0,9
1158,6,0,340024,10,1,2,3,15,2,2,5,3,2,11,2,1,10627,1280939,18209,0,7
1159,6,0,310542,11,0,2,3,15,2,2,5,3,2,11,2,2,5606,1290697,9497,0,6
1161,6,0,648122,15,0,2,3,15,2,2,5,2,2,11,2,2,9760,691681,14313,0,8
1162,6,0,676897,17,1,2,3,15,2,2,5,1,2,11,2,3,3949,1011980,12146,0,9
1163,6,0,202535,21,0,2,3,15,2,2,5,3,2,11,2,1,11532,972080,16720,0,7
1164,6,0,383232,19,1,2,3,15,2,2,5,3,2,11,2,2,4444,957220,14707,0,8
1167,6,0,617265,20,0,2,3,15,2,2,5,3,2,11,2,3,12147,893700,12044,0,8
1169,6,0,634859,17,0,2,3,15,2,2,5,3,2,11,2,3,5286,1045293,10753,0,8
1170,6,0,131738,15,1,2,3,15,2,2,5,3,2,11,2,2,9265,1028583,19158,0,7
1171,6,0,514359,24,0,2,3,15,2,2,5,2,2,11,2,1,6461,1010513,16697,0,7
1173,6,0,537363,15,0,2,3,15,2,2,5,3,2,11,2,1,7283,609571,19388,0,8
1174,6,0,467024,21,1,2,3,15,2,2,5,2,2,11,2,2,6495,1161224,11983,0,7
1175,6,0,306379,13,0,2,3,15,2,2,5,3,2,11,2,3,11123,1051600,9848,0,6
1176,6,0,182172,15,1,2,3,15,2,2,5,2,2,11,2,2,6969,767864,18267,0,8
1178,6,0,699585,18,1,2,3,15,2,2,5,3,2,11,2,1,3870,1275109,11988,0,7
1179,6,0,151774,23,0,2,3,15,2,2,5,3,2,11,2,3,4287,1033555,19294,0,8
1180,6,0,228437,17,1,2,3,15,2,2,5,2,2,11,4,3,4420,921933,12904,0,8
1181,6,0,461254,15,0,2,3,15,2,2,5,3,2,11,4,2,11019,846764,9297,0,8
1183,6,0,243250,22,0,2,3,15,2,2,5,1,2,11,4,3,6369,666969,17037,0,8
1184,6,0,197027,13,1,2,3,15,2,2,5,2,2,11,4,2,8437,1447194,17844,0,8
1185,6,0,365207,22,0,2,3,15,2,2,5,3,2,11,4,2,5945,1038873,14009,0,8
1186,6,0,103585,18,1,2,3,15,2,2,5,1,2,11,4,2,11935,429975,14857,0,6
1187,6,0,307473,17,0,2,3,15,2,2,5,2,2,11,4,3,6016,1288039,8962,0,7
1188,6,0,476003,11,1,2,3,15,2,2,5,3,2,11,4,2,4861,1210501,8369,0,7
1189,6,0,552115,22,0,2,3,15,2,2,5,2,2,11,4,1,8253,1163718,18201,0,9
1190,6,0,688174,11,1,2,3,15,2,2,5,1,2,11,4,3,5198,1261368,9532,0,9
1191,6,0,274274,23,0,2,3,15,2,2,5,3,2,11,4,1,6356,762080,11048,0,6
1193,6,0,357883,18,0,2,3,15,2,2,5,2,2,11,4,1,11563,1359828,14335,0,7
1195,6,0,217921,16,0,2,3,15,2,2,5,3,2,11,4,1,6147,770013,17327,0,8
1198,6,0,330139,23,1,2,3,15,2,2,5,1,2,11,4,2,9630,437088,11699,0,7
1199,6,0,666900,21,0,2,3,15,2,2,5,3,2,11,4,3,11111,1142984,18288,0,9
1200,2,1,386110,13,1,2,3,16,4,4,1,2,2,10,4,3,5333,611122,10227,0,8
1201,2,1,361854,15,0,2,3,16,4,4,1,1,2,10,4,2,3602,983523,18314,0,8
1202,2,1,735898,13,1,2,3,16,4,4,1,3,2,10,4,3,3982,1356555,17438,0,9
1204,2,1,688618,21,1,2,3,16,4,4,1,2,2,10,4,2,9190,536531,9526,0,9
1205,2,1,367958,17,0,2,3,16,4,4,1,1,2,10,4,2,11553,1242682,13913,0,6
1206,2,1,472120,14,1,2,3,16,4,4,1,3,2,10,4,1,6778,667627,12326,0,9
1207,2,1,304457,12,0,2,3,16,4,4,1,2,2,10,4,1,9906,791322,19947,0,6
1210,2,1,552694,18,1,2,3,16,4,4,1,2,2,10,4,2,7216,1268167,15245,0,9
1211,2,1,332092,22,0,2,3,16,4,4,1,2,2,10,4,1,10687,1281981,15593,0,8
1212,2,1,490759,18,1,2,3,16,4,4,1,3,2,10,4,1,5789,1283369,11338,0,9
1213,2,1,448270,19,0,2,3,16,4,4,1,1,2,10,4,1,4119,1236276,14555,0,8
1214,2,1,563547,23,1,2,3,16,4,4,1,1,2,10,4,2,12076,735712,8926,0,9
1215,2,1,774228,21,0,2,3,16,4,4,1,1,2,10,4,3,7268,619269,15274,0,7
1216,2,1,432032,22,1,2,3,16,4,4,1,2,2,10,4,3,4697,889914,11761,0,7
1217,2,1,470178,24,0,2,3,16,4,4,1,2,2,10,4,2,11746,984580,17152,0,7
1218,2,1,426355,21,1,2,3,16,4,4,1,2,2,10,4,3,10530,1418409,9696,0,8
1219,2,1,737121,21,0,2,3,16,4,4,1,1,2,10,4,2,9896,885487,15092,0,8
1220,2,1,361303,19,1,2,3,16,4,4,1,3,2,10,4,1,4734,1044811,16074,0,6
1221,2,1,358690,11,0,2,3,16,4,4,1,1,2,10,4,1,5717,843336,7918,0,7
1222,2,1,141894,19,1,2,3,16,4,4,1,1,2,10,4,2,7108,1399582,14763,0,9
1223,2,1,375531,17,0,2,3,16,4,4,1,3,2,10,4,1,9391,1387477,17999,0,9
1225,2,1,543826,22,0,2,3,16,4,4,1,1,2,10,4,2,6039,1397567,10751,0,9
1226,2,1,282640,11,1,2,3,16,4,4,1,3,2,10,4,1,4764,1083359,17296,0,7
1227,2,1,157339,24,0,2,3,16,4,4,1,3,2,10,4,2,8359,1021353,7587,0,8
1228,2,1,518073,15,1,2,3,16,4,4,1,1,2,10,4,2,3915,601178,11733,0,9
1230,2,1,344384,16,1,2,3,16,4,4,1,3,2,10,4,1,11651,725565,15391,0,9
1231,2,1,135305,13,0,2,3,16,4,4,1,2,2,10,4,3,6676,1190727,15375,0,9
1232,2,1,475120,24,1,2,3,16,4,4,1,2,2,10,4,3,12056,1078443,15602,0,7
1233,2,1,491736,12,0,2,3,16,4,4,1,1,2,10,4,3,4267,1092177,19057,0,9
1236,2,1,571970,23,1,2,3,16,4,4,1,2,2,10,4,2,9304,1378054,17464,0,9
1237,2,1,106817,10,0,2,3,16,4,4,1,2,2,10,4,3,11446,744119,18788,0,9
1238,2,1,365550,20,1,2,3,16,4,4,1,1,2,10,4,2,4786,946170,19449,0,6
1239,2,1,415740,10,0,2,3,16,4,4,1,2,2,10,4,2,8908,1354907,15257,0,6
1240,2,1,294875,13,1,2,3,16,4,4,1,3,2,10,4,1,5055,733282,17876,0,8
1242,2,1,364718,13,1,2,3,16,4,4,1,1,2,10,4,1,6111,1411937,14483,0,7
1243,2,1,456350,24,0,2,3,16,4,4,1,1,2,10,4,3,7810,1044401,19575,0,8
1244,2,1,344139,17,1,2,3,16,4,4,1,2,2,10,4,3,5735,542902,10836,0,8
1245,2,1,530371,17,0,2,3,16,4,4,1,1,2,10,4,2,8569,1427055,18943,0,7
1246,2,1,228899,16,1,2,3,16,4,4,1,2,2,10,4,2,6325,665725,16011,0,8
1247,2,1,444238,19,0,2,3,16,4,4,1,1,2,10,4,3,12227,1297843,10876,0,9
1249,2,1,407247,10,0,2,3,16,4,4,1,3,2,10,4,2,10904,1348135,16044,0,6
1250,2,1,336094,13,1,3,4,16,4,4,1,1,2,10,4,3,10389,945566,18428,0,6
1251,2,1,219500,15,0,3,4,16,4,4,1,3,2,10,4,3,11207,449236,9055,0,7
1252,2,1,637056,17,1,3,4,16,4,4,1,3,2,10,4,1,12061,1289544,8452,0,7
1254,2,1,373573,17,1,3,4,16,4,4,1,2,2,10,4,3,12469,947103,19988,0,9
1255,2,1,443310,15,0,3,4,16,4,4,1,3,2,10,4,1,10055,1172479,10639,0,8
1257,2,1,268761,15,0,3,4,16,4,4,1,2,2,10,4,3,3867,1417543,9764,0,6
1258,2,1,596337,16,1,3,4,16,4,4,1,3,2,10,4,3,7642,1376480,15006,0,8
1259,2,1,291019,21,0,3,4,16,4,4,1,2,2,10,4,1,7907,859543,19317,0,6
1261,2,1,467529,14,0,3,4,16,4,4,1,1,0,10,4,3,10060,741383,10359,0,7
1262,2,1,211989,13,1,3,4,16,4,4,1,2,0,10,4,1,10459,1366244,9629,0,6
1263,2,1,792056,11,0,3,4,16,4,4,1,3,0,10,4,1,7688,437234,17108,0,9
1265,2,1,170164,13,0,3,4,16,4,4,1,2,0,10,4,2,5879,687860,13862,0,7
1266,2,1,576387,11,1,3,4,16,4,4,1,2,0,10,4,3,7531,606128,17337,0,8
1267,2,1,195499,13,0,3,4,16,4,4,1,2,0,10,4,1,12368,1428551,19445,0,7
1268,2,1,697357,24,1,3,4,16,4,4,1,1,0,10,4,1,7475,1112142,14162,0,9
1271,2,1,182087,16,0,3,4,16,4,4,1,3,0,10,4,1,4742,844648,18413,0,6
1272,2,1,612121,15,1,3,4,16,4,4,1,1,0,10,4,3,5870,1368178,8390,0,8
1274,2,1,104585,14,1,3,4,16,4,4,1,1,0,10,4,2,7727,1216289,18739,0,7
1275,2,1,293746,15,0,3,4,16,4,4,1,3,0,10,4,3,8549,925539,9405,0,8
1276,2,1,789501,16,1,3,4,16,4,4,1,1,0,10,4,3,3861,1054870,18399,0,7
1277,2,1,502058,21,0,3,4,16,4,4,1,3,0,10,4,1,5769,1118774,11328,0,9
1278,2,1,340279,18,1,3,4,16,4,4,1,3,0,10,4,2,7948,1365121,16305,0,8
1279,2,1,130621,18,0,3,4,16,4,4,1,2,0,10,4,1,7361,1340245,14186,0,6
1280,2,1,356616,14,1,3,4,16,4,4,1,1,0,10,4,3,10163,721239,19850,0,9
1281,2,1,579470,17,0,3,4,16,4,4,1,1,0,10,4,2,8894,463220,13079,0,9
1282,2,1,500160,21,1,3,4,16,4,4,1,1,0,10,4,1,6968,524792,18334,0,7
1283,2,1,248202,21,0,3,4,16,4,4,1,3,0,10,4,3,10755,577491,13120,0,7
1284,2,1,366043,17,1,3,4,16,4,4,1,1,0,10,4,2,6616,821926,12015,0,9
1285,2,1,140661,23,0,3,4,16,4,4,1,1,0,10,4,1,6720,1079666,16238,0,9
1287,2,1,110315,20,0,3,4,16,4,4,1,1,0,10,4,1,12108,548360,11231,0,7
1289,2,1,570729,18,0,3,4,16,4,4,1,1,0,10,4,3,9738,655141,13748,0,7
1290,2,1,421538,13,1,3,4,16,4,4,1,3,0,10,4,1,11293,1394323,19594,0,8
1291,2,1,596914,15,0,3,4,16,4,4,1,1,0,10,4,3,9582,851786,18184,0,6
1292,2,1,230648,22,1,3,4,16,4,4,1,3,0,10,4,2,5674,1123705,8386,0,6
1294,2,1,437660,19,1,3,4,16,4,4,1,2,0,10,4,2,12127,1243399,8299,0,8
1295,2,1,396242,24,0,3,4,16,4,4,1,1,0,10,4,1,7992,1024380,14020,0,6
1296,2,1,102963,10,1,3,4,16,4,4,1,3,0,10,4,2,5937,960854,12574,0,7
1298,2,1,546682,18,1,3,4,16,4,4,1,2,0,10,4,2,9112,447829,19146,0,6
1299,2,1,748944,12,0,3,4,16,4,4,1,1,0,10,4,2,9597,941089,8283,0,7
1300,7,4,116138,19,1,3,4,16,4,4,1,1,0,10,4,2,5004,898073,18698,0,9
1301,7,4,358240,19,0,3,4,16,4,4,1,1,0,10,4,1,5262,1095865,12196,0,7
1302,7,4,342936,23,1,3,4,16,4,4,1,3,0,10,4,2,10079,614246,18072,0,6
1303,7,4,598963,22,0,3,4,16,4,4,1,2,0,10,4,1,7190,872797,15273,0,9
1305,7,4,625219,24,0,3,4,16,4,4,1,1,0,10,4,1,10022,1024961,12785,0,9
1306,7,4,442070,10,1,3,4,16,4,4,1,3,0,10,4,1,10091,636255,14236,0,6
1307,7,4,492520,21,0,3,4,16,4,4,1,2,0,10,4,3,8151,895911,19199,0,8
1308,7,4,253050,19,1,3,4,16,4,4,1,1,0,10,4,2,6687,1054653,11152,0,8
1309,7,4,648467,24,0,3,4,16,4,4,1,2,0,10,4,3,4556,896621,17621,0,9
1310,7,4,319529,21,1,3,4,16,4,4,1,1,0,10,4,1,6110,706919,18603,0,8
1311,7,4,334830,16,0,3,4,16,4,4,1,3,0,10,4,2,7731,1390125,9487,0,9
1312,7,4,107232,23,1,3,4,16,4,4,1,1,0,10,4,2,10135,1041165,19764,0,6
1313,7,4,344544,10,0,3,4,16,4,4,1,2,0,10,4,3,7398,1272151,17377,0,8
1314,7,4,163543,23,1,3,4,16,4,4,1,1,0,10,4,2,9288,604682,12381,0,6
1315,7,4,601606,11,0,3,4,16,4,4,1,1,0,10,4,1,5124,1200038,9649,0,8
1316,7,4,716179,13,1,3,4,16,4,4,1,3,0,10,4,1,8108,702632,13350,0,8
1317,7,4,347803,23,0,3,4,16,4,4,1,1,0,10,4,1,12179,581802,16682,0,8
1318,7,4,382075,23,1,3,4,16,4,4,1,2,0,10,4,2,7353,867394,19087,0,8
1321,7,4,338180,18,0,3,4,16,4,4,1,2,0,10,4,2,12316,1090645,8436,0,8
1322,7,4,543164,23,1,3,4,16,4,4,1,2,0,10,4,1,10217,1220179,7527,0,6
1323,7,4,460428,16,0,3,4,16,4,4,1,3,0,10,4,1,12097,883551,14176,0,7
1324,7,4,211980,16,1,3,4,16,4,4,1,1,0,10,4,1,10013,668293,13202,0,8
1325,7,4,313808,11,0,3,4,16,4,4,1,2,0,10,4,3,5771,1213010,18866,0,8
1326,7,4,584587,10,1,3,4,16,4,4,1,2,0,10,4,1,6782,1104726,14545,0,6
1327,7,4,177579,15,0,3,4,16,4,4,1,3,0,10,4,3,8617,1120508,16384,0,6
1329,7,4,538263,11,0,3,4,16,4,4,1,2,0,10,4,3,3850,733442,17571,0,8
1331,7,4,365880,19,0,3,4,16,4,4,1,2,0,10,4,3,7807,1176216,11229,0,6
1332,7,4,212735,22,1,3,4,16,4,4,1,1,0,10,4,1,4278,576209,11186,0,6
1334,7,4,775338,20,1,3,4,16,4,4,1,1,0,10,4,3,9390,1206994,9316,0,6
1336,7,4,397648,11,1,3,4,16,4,4,1,3,0,10,4,1,8061,1255915,17099,0,9
1337,7,4,245529,13,0,3,4,16,4,4,1,2,0,10,4,2,11983,997527,11300,0,8
1338,7,4,363919,18,1,3,4,16,4,4,1,2,0,10,4,1,7732,842578,9171,0,6
1340,7,4,786008,20,1,3,4,16,4,4,1,3,0,10,4,2,5356,1087489,19574,0,8
1341,7,4,686336,15,0,3,4,16,4,4,1,3,0,10,4,1,3768,759856,8754,0,6
1342,7,4,110756,22,1,3,4,16,4,4,1,2,0,10,4,1,6052,609629,18176,0,8
1343,7,4,269629,16,0,3,4,16,4,4,1,3,0,10,4,3,3961,1187129,17063,0,9
1344,7,4,466015,18,1,3,4,16,4,4,1,3,0,10,4,3,7022,1296275,14590,0,8
1345,7,4,549144,21,0,3,4,16,4,4,1,3,0,10,4,3,10446,925710,7995,0,8
1346,7,4,172716,19,1,3,4,16,4,4,1,2,0,10,4,3,4014,1006770,10047,0,8
1347,7,4,102800,13,0,3,4,16,4,4,1,3,0,10,4,1,8871,470961,13511,0,6
1348,7,4,420665,15,1,3,4,16,4,4,1,1,0,10,4,2,4738,1013125,14120,0,8
1349,7,4,737945,18,0,3,4,16,4,4,1,3,0,10,4,2,6725,1414835,8333,0,8
1350,7,4,373391,24,1,3,4,16,4,4,1,3,0,10,4,3,6525,665907,19096,0,6
1351,7,4,129187,16,0,3,4,16,4,4,1,1,0,10,4,3,11361,562789,7628,0,8
1352,7,4,178400,19,1,3,4,16,4,4,1,1,0,10,4,1,10355,895316,16678,0,6
1353,7,4,551777,11,0,3,4,16,4,4,1,3,0,10,4,2,8025,591575,10935,0,9
1354,7,4,790233,11,1,3,4,16,4,4,1,3,0,10,4,3,7112,918331,12960,0,9
1358,7,4,573912,13,1,3,4,16,4,4,1,2,0,10,4,3,5908,1093036,16551,0,9
1359,7,4,189388,18,0,3,4,16,4,4,1,2,0,10,4,2,8463,1429018,11048,0,9
1360,7,4,717474,20,1,3,4,16,4,4,1,3,0,10,4,3,11290,701456,14533,0,9
1361,7,4,716356,12,0,3,4,16,4,4,1,3,0,10,4,1,9702,732550,16728,0,8
1362,7,4,754160,11,1,3,4,16,4,4,1,2,0,10,4,1,8026,671084,18142,0,7
1364,7,4,259280,13,1,3,4,16,4,4,1,2,0,10,4,2,7284,1269826,9211,0,7
1365,7,4,666033,18,0,3,4,16,4,4,1,2,0,10,4,2,8422,880514,15028,0,9
1366,7,4,638726,17,1,3,4,16,4,4,1,3,0,10,4,3,5958,517786,15838,0,6
1367,7,4,425848,22,0,3,4,16,4,4,1,3,0,10,4,2,3795,811167,18949,0,8
1368,7,4,216776,20,1,3,4,16,4,4,1,3,0,10,4,2,12143,1344297,10730,0,7
1369,7,4,460051,17,0,3,4,16,4,4,1,3,0,10,4,2,6367,741878,15885,0,6
1370,7,4,493874,13,1,3,4,16,4,4,1,1,0,10,4,1,4992,1092162,15745,0,6
1371,7,4,777723,16,0,3,4,16,4,4,1,1,0,10,4,3,9011,1297723,11676,0,7
1372,7,4,426265,13,1,3,4,16,4,4,1,2,0,10,4,2,5641,984884,7706,0,7
1373,7,4,177683,10,0,3,4,16,4,4,1,3,0,10,4,2,12252,1278932,19549,0,7
1374,7,4,108342,15,1,3,4,16,4,4,1,2,0,10,4,2,4429,1426795,18747,0,7
1375,7,4,182573,13,0,3,4,16,4,4,1,2,0,10,4,2,5817,770557,15669,0,8
1376,7,4,648553,21,1,3,4,16,4,4,1,2,0,10,4,2,7600,584277,14444,0,7
1377,7,4,334452,19,0,3,4,16,4,4,1,2,0,10,4,3,8219,639491,14795,0,8
1378,7,4,551187,11,1,3,4,16,4,4,1,3,0,10,4,3,7930,1147998,11940,0,9
1379,7,4,492781,21,0,3,4,16,4,4,1,3,0,10,4,2,5120,1364278,8666,0,9
1380,7,4,699788,21,1,3,4,16,4,4,1,3,0,10,4,1,4534,467783,8230,0,8
1381,7,4,715259,24,0,3,4,16,4,4,1,2,0,10,4,3,8341,646005,14124,0,8
1382,7,4,261615,12,1,3,4,16,4,4,1,2,0,10,4,2,10601,435317,15806,0,9
1383,7,4,787629,17,0,3,4,16,4,4,1,1,0,10,4,3,10789,907438,16273,0,8
1384,7,4,474002,24,1,3,4,16,4,4,1,1,0,10,4,1,5830,692150,10458,0,8
1385,7,4,140022,21,0,3,4,16,4,4,1,1,0,10,4,3,4376,1102417,19216,0,6
1387,7,4,615223,22,0,3,4,16,4,4,1,2,0,10,4,2,4349,906211,16281,0,8
1390,7,4,211363,19,1,3,4,16,4,4,1,1,0,10,4,3,3658,1444833,10123,0,6
1391,7,4,411149,24,0,3,4,16,4,4,1,1,0,10,4,3,11959,528187,7725,0,9
1392,7,4,614353,22,1,3,4,16,4,4,1,2,0,10,4,2,3868,1373468,18744,0,9
1393,7,4,753237,13,0,3,4,16,4,4,1,3,0,10,4,3,10169,829861,9210,0,7
1394,7,4,727035,15,1,3,4,16,4,4,1,1,0,10,4,3,6592,1386933,11276,0,6
1396,7,4,584172,20,1,3,4,16,4,4,1,2,0,10,4,3,3928,964007,13512,0,9
1397,7,4,239092,23,0,3,4,16,4,4,1,3,0,10,4,2,5693,770079,15837,0,7
1398,7,4,558489,17,1,3,4,16,4,4,1,1,0,10,4,3,9653,1400273,8568,0,6
1399,7,4,358324,18,0,3,4,16,4,4,1,3,0,10,4,2,6005,944502,9014,0,7
1400,3,4,129864,12,1,3,4,17,4,2,1,1,0,12,4,3,6813,698797,12615,0,9
1403,3,4,185869,17,0,3,4,17,4,2,1,3,0,12,4,3,6616,689358,7763,0,8
1404,3,4,516667,19,1,3,4,17,4,2,1,1,0,12,4,3,10073,671966,10667,0,9
1405,3,4,223036,16,0,3,4,17,4,2,1,1,0,12,4,3,8700,634526,12758,0,9
1406,3,4,775689,11,1,3,4,17,4,2,1,1,0,12,4,3,6923,1227046,17305,0,6
1407,3,4,585377,12,0,3,4,17,4,2,1,1,0,12,4,3,5949,568847,11819,0,7
1410,3,4,143230,16,1,3,4,17,4,2,1,3,0,12,4,3,8224,1159833,10195,0,6
